Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical
27-08-2014 11:29,37,Female,india,TN,NA,No,Yes,Often,,No,Yes,Yes,Not sure,No,Yes,,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes
27-08-2014 11:29,44,M,india,TN,NA,No,No,Rarely,,No,No,Don't know,No,Don't know,Don't know,,Don't know,Maybe,No,No,No,No,No,Don't know
27-08-2014 11:29,32,Male,india,TN,NA,No,No,Rarely,,No,Yes,No,No,No,No,,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,No
27-08-2014 11:29,31,Male,india,TN,NA,Yes,Yes,Often,,No,Yes,No,Yes,No,No,,Somewhat difficult,Yes,Yes,Some of them,No,Maybe,Maybe,No
27-08-2014 11:30,31,Male,india,TN,NA,No,No,Never,,Yes,Yes,Yes,No,Don't know,Don't know,,Don't know,No,No,Some of them,Yes,Yes,Yes,Don't know
27-08-2014 11:31,33,Male,india,TN,NA,Yes,No,Sometimes,,No,Yes,Yes,Not sure,No,Don't know,,Don't know,No,No,Yes,Yes,No,Maybe,Don't know
27-08-2014 11:31,35,Female,india,TN,NA,Yes,Yes,Sometimes,,Yes,Yes,No,No,No,No,,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No,Don't know
27-08-2014 11:32,39,M,india,KL,NA,No,No,Never,,Yes,Yes,No,Yes,No,No,,Don't know,No,No,No,No,No,No,No
27-08-2014 11:32,42,Female,india,KL,NA,Yes,Yes,Sometimes,,No,Yes,Yes,Yes,No,No,,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No
27-08-2014 11:32,23,Male,india,KL,NA,No,No,Never,,No,Yes,Don't know,No,Don't know,Don't know,,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes
27-08-2014 11:32,31,Male,india,KL,NA,No,Yes,Sometimes,,Yes,Yes,Don't know,No,No,No,,Don't know,No,No,Some of them,Yes,No,No,Don't know
27-08-2014 11:32,29,male,india,KL,NA,No,No,Never,,Yes,Yes,Don't know,Not sure,No,No,,Don't know,No,No,Yes,Yes,Yes,Yes,Don't know
27-08-2014 11:33,42,female,india,KL,NA,Yes,Yes,Sometimes,,No,No,Yes,Yes,No,No,,Somewhat difficult,Yes,Yes,Yes,Yes,Maybe,Maybe,No
27-08-2014 11:33,36,Male,india,KL,NA,Yes,No,Never,,No,Yes,Don't know,Not sure,No,Don't know,,Don't know,No,No,Yes,Yes,No,No,Don't know
27-08-2014 11:33,27,Male,india,AP,NA,No,No,Never,,No,Yes,Don't know,Not sure,Don't know,Don't know,,Somewhat easy,No,No,Some of them,Some of them,Maybe,Yes,Yes
27-08-2014 11:34,29,female,india,AP,NA,Yes,Yes,Rarely,,No,Yes,Yes,Not sure,No,No,,Somewhat easy,No,No,Yes,Some of them,Maybe,Maybe,Don't know
27-08-2014 11:34,23,Male,india,AP,NA,No,Yes,Sometimes,,Yes,Yes,Don't know,No,Don't know,Don't know,,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,No
27-08-2014 11:34,32,Male,india,AP,NA,No,Yes,Sometimes,,No,Yes,Yes,Yes,No,Don't know,,Don't know,Maybe,No,Some of them,Yes,No,No,No
27-08-2014 11:34,46,male,india,AP,Yes,Yes,No,Sometimes,,Yes,Yes,Yes,Not sure,Yes,Don't know,,Very easy,No,No,Yes,Yes,No,Yes,Yes
27-08-2014 11:35,36,Male,india,AP,Yes,Yes,No,NA,,Yes,Yes,No,No,Yes,No,,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,Don't know
27-08-2014 11:35,29,Male,india,AP,No,Yes,Yes,Sometimes,,No,Yes,Yes,Yes,No,No,,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,No
27-08-2014 11:35,31,male,india,AP,Yes,No,No,Never,,Yes,Yes,No,No,No,No,,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,Yes
27-08-2014 11:35,46,Male,india,AP,No,No,Yes,Often,,Yes,Yes,Yes,Yes,No,No,,Don't know,Maybe,No,Some of them,Yes,No,Maybe,No
27-08-2014 11:36,41,Male,india,AP,No,No,Yes,Never,,No,No,Don't know,No,No,Don't know,,Don't know,Maybe,No,No,No,No,Yes,Don't know
27-08-2014 11:36,33,male,india,AP,No,Yes,Yes,Rarely,,No,Yes,Yes,Not sure,Don't know,Yes,,Don't know,No,No,Yes,Yes,No,Yes,Don't know
27-08-2014 11:37,35,male,india,UP,No,Yes,Yes,Sometimes,,No,No,Yes,Yes,No,Don't know,,Very easy,Yes,No,Some of them,Yes,No,Yes,No
27-08-2014 11:37,33,male,india,UP,No,No,No,NA,,No,Yes,Don't know,Not sure,No,Don't know,,Don't know,Maybe,Maybe,Some of them,No,No,No,Don't know
27-08-2014 11:37,35,Female,india,UP,No,Yes,Yes,Rarely,,Yes,Yes,Yes,Yes,Don't know,Don't know,,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes
27-08-2014 11:38,34,male,india,UP,No,No,Yes,Sometimes,,Yes,Yes,Don't know,Not sure,No,Don't know,,Somewhat difficult,No,No,Some of them,No,No,No,No
27-08-2014 11:38,37,Male,india,UP,No,No,No,Sometimes,,No,Yes,No,No,No,No,,Very difficult,Yes,Maybe,Some of them,No,No,Maybe,No
27-08-2014 11:39,32,Male,india,UP,No,No,No,Never,,Yes,Yes,No,No,No,No,,Don't know,Yes,Yes,Some of them,Some of them,No,Maybe,No
27-08-2014 11:38,31,Male,india,UP,Yes,Yes,No,Rarely,,Yes,Yes,No,Yes,No,No,,Somewhat difficult,Yes,No,No,No,No,No,No
27-08-2014 11:39,30,male,india,UP,No,Yes,Yes,Sometimes,,Yes,Yes,Don't know,No,No,No,,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,Don't know
27-08-2014 11:39,42,Male,india,UP,No,Yes,Yes,Sometimes,,Yes,Yes,Yes,Yes,Yes,Yes,,Very easy,Maybe,No,Some of them,Some of them,Maybe,Yes,Don't know
27-08-2014 11:40,40,female,india,UP,No,No,Yes,Sometimes,,No,Yes,Yes,Yes,No,No,,Don't know,Maybe,No,Some of them,No,No,Maybe,Yes
27-08-2014 11:41,27,Male,india,UP,No,No,Yes,Rarely,,No,Yes,No,Yes,No,No,,Very easy,No,No,Yes,Yes,Maybe,Maybe,Don't know
27-08-2014 11:41,29,Male,india,UP,No,No,No,Rarely,,No,Yes,No,No,No,No,,Very easy,Yes,Maybe,Some of them,No,No,No,Don't know
27-08-2014 11:41,38,Male,india,TN,No,No,No,NA,,No,Yes,No,Yes,No,No,,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,No
27-08-2014 11:42,50,M,india,TN,No,No,No,NA,,No,Yes,Yes,Yes,No,Don't know,,Don't know,No,No,Some of them,Yes,No,Maybe,Don't know
27-08-2014 11:42,35,M,india,TN,No,No,Yes,Rarely,,Yes,Yes,Yes,Yes,No,Yes,,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes
27-08-2014 11:42,24,Male,india,TN,No,No,Yes,Sometimes,,No,Yes,No,No,No,No,,Don't know,Maybe,Maybe,Some of them,No,No,Yes,No
27-08-2014 11:42,35,Male,india,TN,No,No,No,NA,,Yes,Yes,Yes,Not sure,Don't know,Yes,,Somewhat difficult,Yes,Yes,Some of them,No,No,Maybe,Don't know
27-08-2014 11:43,27,Male,india,TN,No,Yes,Yes,Sometimes,,No,Yes,No,Yes,No,No,,Very difficult,Maybe,No,Some of them,No,No,No,Yes
27-08-2014 11:43,18,Male,india,TN,No,No,No,Often,,No,Yes,No,Not sure,No,No,,Somewhat difficult,Yes,Maybe,No,Some of them,No,No,No
27-08-2014 11:43,30,Male,india,TN,No,No,Yes,Sometimes,,No,Yes,Don't know,No,No,No,,Don't know,No,No,No,No,No,Maybe,Don't know
27-08-2014 11:43,38,Female,india,TN,No,Yes,Yes,Sometimes,,No,Yes,Yes,Yes,No,Yes,,Somewhat easy,No,No,Some of them,Yes,No,No,Yes
27-08-2014 11:43,28,Male,india,TN,No,No,No,NA,,No,Yes,Don't know,Not sure,No,No,,Don't know,No,Maybe,Some of them,Yes,Maybe,Yes,Don't know
27-08-2014 11:43,34,Male,india,TN,No,No,No,NA,,No,Yes,No,No,No,No,,Don't know,No,No,Yes,Yes,Maybe,Yes,Don't know
27-08-2014 11:43,26,m,india,PN,Yes,No,No,Sometimes,,No,Yes,No,Yes,Yes,No,,Don't know,No,No,Yes,Yes,No,No,Yes
27-08-2014 11:44,30,male,india,PN,No,Yes,Yes,Rarely,,No,Yes,Yes,No,No,Don't know,,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know
27-08-2014 11:44,22,M,india,PN,No,Yes,Yes,Often,,No,Yes,No,Yes,No,No,,Very difficult,Maybe,No,No,No,No,Maybe,Don't know
27-08-2014 11:45,33,Male,india,PN,No,No,No,NA,,Yes,Yes,Don't know,Not sure,Don't know,Don't know,,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know
27-08-2014 11:45,31,M,india,KAR,No,No,No,NA,,Yes,Yes,Don't know,No,Don't know,Don't know,,Don't know,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know
27-08-2014 11:45,32,Male,india,KAR,No,No,No,Never,,Yes,Yes,Don't know,Not sure,No,No,,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know
27-08-2014 11:46,28,M,india,KAR,No,No,No,NA,,No,Yes,No,No,No,No,,Don't know,No,No,No,No,No,Maybe,Don't know
27-08-2014 11:46,27,Male-ish,india,KAR,No,Yes,Yes,Rarely,,No,Yes,Yes,Yes,No,No,,Don't know,Maybe,No,No,No,No,No,Don't know
27-08-2014 11:46,32,maile,india,KAR,No,Yes,No,NA,,Yes,Yes,Don't know,No,No,No,,Somewhat easy,No,No,Yes,Yes,No,No,Yes
27-08-2014 11:47,24,Male,india,KAR,No,Yes,Yes,Sometimes,,Yes,Yes,Don't know,No,No,No,,Don't know,No,Maybe,Some of them,Yes,Yes,Yes,No
27-08-2014 11:47,26,Male,india,KAR,No,No,No,NA,,No,No,No,No,No,No,,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Don't know
27-08-2014 11:47,33,male,india,MP,No,Yes,Yes,Often,,Yes,Yes,Don't know,No,No,No,,Somewhat difficult,Yes,No,No,No,No,Maybe,Don't know
27-08-2014 11:48,44,Male,india,MP,No,Yes,Yes,Sometimes,,No,No,Yes,No,No,Don't know,,Don't know,Yes,Maybe,Some of them,No,No,Maybe,Don't know
27-08-2014 11:49,26,Female,india,MP,No,No,Yes,Sometimes,,Yes,Yes,Don't know,Not sure,Yes,Yes,,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes
27-08-2014 11:50,27,Male,india,MP,No,No,No,Never,,No,Yes,Yes,Not sure,No,Yes,,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes
27-08-2014 11:50,26,Male,india,MP,No,No,No,NA,,No,Yes,No,No,No,No,,Very easy,Yes,No,No,No,No,No,No
27-08-2014 11:50,35,male,india,DL,No,No,No,Sometimes,,No,Yes,Don't know,No,No,No,,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Don't know
27-08-2014 11:51,40,Male,india,DL,No,Yes,No,Sometimes,,Yes,Yes,Yes,Yes,Yes,Yes,,Don't know,Yes,Maybe,Some of them,No,No,No,No
27-08-2014 11:51,23,Female,india,DL,No,Yes,Yes,Often,,Yes,Yes,No,Not sure,No,No,,Very easy,No,No,Some of them,Yes,No,Maybe,Yes
27-08-2014 11:52,36,M,india,DL,No,No,No,Sometimes,,Yes,Yes,Yes,No,Don't know,Yes,,Don't know,Maybe,No,Some of them,Some of them,Maybe,Yes,Yes
27-08-2014 11:52,31,Female,india,DL,No,No,No,NA,,Yes,No,Don't know,No,Don't know,Don't know,,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know
27-08-2014 11:52,34,Male,india,DL,Yes,No,No,Rarely,,Yes,Yes,No,No,No,No,,Don't know,Maybe,No,Some of them,No,No,No,Don't know
27-08-2014 11:53,28,m,india,DL,No,No,No,Never,,No,Yes,No,No,No,No,,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know
27-08-2014 11:53,34,male,india,DL,No,No,No,Never,,No,Yes,Don't know,Not sure,Don't know,Don't know,,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know
27-08-2014 11:54,23,Trans-female,india,DL,No,No,No,Rarely,,No,Yes,Yes,Yes,No,No,,Somewhat difficult,Maybe,No,Yes,Yes,No,No,No
27-08-2014 11:56,38,Male,india,DL,No,No,No,NA,,No,Yes,No,No,No,Don't know,,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Yes
27-08-2014 11:56,33,Male,india,DL,No,No,No,Never,,No,Yes,Don't know,Not sure,Yes,Don't know,,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Yes
27-08-2014 11:57,19,Male,india,AP,No,No,No,NA,,No,Yes,No,Yes,No,No,,Somewhat difficult,Yes,No,No,No,No,Maybe,No
27-08-2014 11:57,25,Male,india,AP,No,No,No,NA,,Yes,Yes,Yes,Yes,Yes,Yes,,Don't know,No,No,Yes,Yes,Maybe,Yes,Yes
27-08-2014 11:57,31,Male,india,AP,Yes,Yes,No,Sometimes,,Yes,Yes,No,No,No,No,,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,Yes
27-08-2014 11:59,32,Male,india,AP,No,Yes,Yes,Sometimes,,Yes,Yes,No,No,No,No,,Somewhat difficult,Yes,No,Some of them,No,No,Yes,No
27-08-2014 12:00,28,m,india,TN,No,No,No,Never,,Yes,Yes,Don't know,No,Don't know,Don't know,,Very easy,No,No,Some of them,Some of them,Maybe,Yes,Yes
27-08-2014 12:01,38,Male,india,TN,No,Yes,No,Sometimes,,Yes,Yes,Yes,Yes,No,Yes,,Don't know,No,No,Yes,Some of them,Maybe,Maybe,Yes
27-08-2014 12:02,23,Male,india,TN,No,No,No,Never,,No,Yes,Yes,Not sure,Yes,Don't know,,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes
27-08-2014 12:02,30,male,india,TN,No,No,No,Never,,No,No,No,No,No,No,,Don't know,No,No,Some of them,Yes,No,No,No
27-08-2014 12:03,27,Cis Female,india,TN,Yes,No,Yes,Often,,Yes,Yes,Yes,Yes,Yes,Yes,,Very easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes
27-08-2014 12:05,33,Male,india,TN,No,Yes,No,Never,,No,Yes,No,No,No,No,,Don't know,Yes,No,No,No,No,Maybe,No
27-08-2014 12:05,31,Male,india,TN,No,No,No,NA,,No,Yes,Don't know,Not sure,No,No,,Don't know,No,No,Some of them,Yes,Maybe,Maybe,No
27-08-2014 12:07,39,Male,india,TN,Yes,No,Yes,Often,,No,Yes,No,No,No,No,,Very difficult,Maybe,No,Some of them,No,No,Maybe,No
27-08-2014 12:10,34,female,india,TN,No,Yes,Yes,Rarely,,Yes,Yes,Yes,Not sure,No,Don't know,,Don't know,Yes,Maybe,Some of them,Some of them,No,No,Don't know
27-08-2014 12:11,29,F,india,TN,No,No,Yes,Sometimes,,No,Yes,Yes,Yes,No,No,,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,No
27-08-2014 12:11,32,M,india,TN,No,No,No,NA,,No,Yes,Don't know,No,No,Don't know,,Don't know,No,No,Some of them,Some of them,No,No,Don't know
27-08-2014 12:12,31,Male,india,TN,No,No,No,Never,,No,Yes,Yes,Yes,Yes,Yes,,Somewhat easy,No,No,Some of them,Yes,No,No,Yes
27-08-2014 12:13,40,male,india,TN,No,No,Yes,Sometimes,,No,Yes,No,Yes,No,No,,Very difficult,No,No,Yes,Yes,Yes,Yes,No
27-08-2014 12:14,34,Male,india,TN,No,No,No,NA,,No,Yes,Don't know,No,No,No,,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,Don't know
27-08-2014 12:15,18,something kinda male?,india,TN,No,No,No,NA,,Yes,Yes,Yes,Yes,No,No,,Somewhat easy,No,No,Yes,Yes,Yes,Yes,Don't know
27-08-2014 12:15,25,F,india,AP,No,No,Yes,Sometimes,,No,Yes,Yes,Yes,No,Don't know,,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know
27-08-2014 12:15,29,male,india,AP,No,No,No,Never,,No,Yes,Don't know,No,No,Don't know,,Don't know,No,No,Yes,Yes,Maybe,Maybe,No
27-08-2014 12:16,24,Male,india,AP,No,Yes,No,Rarely,,No,Yes,Don't know,Not sure,No,Don't know,,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,Don't know
27-08-2014 12:17,31,male,india,AP,No,Yes,Yes,Sometimes,,No,Yes,Don't know,No,No,No,,Don't know,No,No,Some of them,Yes,Maybe,Yes,No
27-08-2014 12:18,33,Cis Male,india,AP,No,No,Yes,Sometimes,,No,Yes,No,Yes,No,No,,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,No
27-08-2014 12:18,30,M,india,AP,No,No,Yes,Often,,No,Yes,No,Yes,No,No,,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes
27-08-2014 12:18,26,female,india,AP,No,Yes,Yes,Sometimes,,No,No,No,Yes,No,No,,Very difficult,Yes,No,No,No,No,Maybe,No
27-08-2014 12:18,44,Female,india,AP,No,No,No,Never,,No,Yes,Yes,Not sure,Don't know,Don't know,,Don't know,Maybe,Maybe,No,Some of them,No,No,Don't know
27-08-2014 12:19,25,Male,india,AP,No,Yes,No,NA,,No,Yes,Don't know,No,Don't know,Don't know,,Very easy,No,No,Some of them,Yes,No,No,Don't know
27-08-2014 12:20,33,Male,india,AP,No,Yes,Yes,Sometimes,,Yes,Yes,Yes,Yes,Yes,Yes,,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes
27-08-2014 12:22,29,Male,india,AP,No,No,No,Never,,No,Yes,Yes,Not sure,Yes,Don't know,,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know
27-08-2014 12:23,35,Male,india,AP,No,Yes,No,Rarely,,No,Yes,Yes,Not sure,No,No,,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know
27-08-2014 12:23,35,M,india,AP,No,Yes,Yes,Sometimes,,Yes,Yes,Don't know,Not sure,No,No,,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No
27-08-2014 12:25,28,Male,india,AP,No,Yes,Yes,Rarely,,No,Yes,No,No,No,No,,Don't know,Maybe,No,Yes,Yes,No,No,Don't know
27-08-2014 12:28,34,m,india,AP,No,Yes,No,Never,,Yes,Yes,Yes,No,No,No,,Don't know,Maybe,No,No,No,No,No,Don't know
27-08-2014 12:28,32,Male,india,AP,No,No,Yes,Sometimes,,No,Yes,Yes,No,Yes,Yes,,Somewhat difficult,Maybe,No,Some of them,Yes,No,Maybe,Yes
27-08-2014 12:29,22,Male,india,AP,No,No,Yes,Sometimes,,No,Yes,Yes,Yes,No,Don't know,,Don't know,Yes,No,No,No,No,Yes,No
27-08-2014 12:31,28,Male,india,AP,No,No,Yes,Sometimes,,No,Yes,Yes,Yes,Yes,Yes,,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes
27-08-2014 12:31,45,male,india,AP,No,Yes,Yes,Rarely,,Yes,Yes,Yes,Yes,No,Yes,,Very easy,No,No,Yes,Yes,Yes,Yes,Yes
27-08-2014 12:31,32,Male,india,AP,No,No,No,Never,,No,Yes,Yes,Yes,No,Don't know,,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know
27-08-2014 12:31,28,male,india,AP,No,No,No,NA,,No,Yes,Don't know,No,No,Don't know,,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know
27-08-2014 12:31,26,Male,india,AP,No,No,No,Never,,No,Yes,Don't know,No,No,Don't know,,Very easy,No,No,Some of them,Some of them,No,No,Don't know
27-08-2014 12:31,21,Male,india,AP,Yes,No,No,Often,,Yes,No,No,Yes,No,No,,Very difficult,Yes,No,Some of them,Yes,No,Maybe,No
27-08-2014 12:31,27,Male,india,AP,No,No,No,Rarely,,No,No,Yes,Yes,Yes,Yes,,Very easy,Maybe,No,Some of them,Yes,No,No,Don't know
27-08-2014 12:31,18,Male,india,AP,No,No,Yes,Rarely,,Yes,Yes,No,No,No,No,,Very easy,No,No,Some of them,No,No,No,Don't know
27-08-2014 12:32,35,Male,india,AP,No,No,No,NA,,Yes,Yes,Don't know,Not sure,No,Don't know,,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know
